Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
122.3433,2.039055,-0.0693,-0.4005,-0.2931,-0.384,-0.2374,-0.4356,-0.5538,0.172,0.0641,0.092,0.0704,0.0722,-0.0209
123.2219,2.053698333,0.0477,-0.4493,-0.319,-0.3043,-0.2357,-0.2623,-0.1516,0.1582,0.078,0.0787,0.0364,0.0407,0.1301
124.0893,2.068155,0.0187,-0.2652,-0.3293,-0.2599,-0.3024,-0.3027,-0.6325,0.1013,0.0615,0.0332,0.0557,0.0108,-0.1142
124.9422,2.08237,0.0886,-0.3644,-0.2907,-0.3017,-0.2184,-0.4961,-0.3374,0.0873,0.0894,0.0505,0.0495,0.0577,-0.0766
125.8311,2.097185,0.1283,-0.4841,-0.382,-0.2219,-0.2592,-0.2492,-0.4641,0.13,0.0699,0.0242,0.0505,0.0742,-0.0065
126.7172,2.111953333,-0.0355,-0.4035,-0.2111,-0.3416,-0.3459,-0.2656,-0.3862,0.1158,0.0499,0.082,0.0454,0.043,-0.0167
127.5722,2.126203333,0.0708,-0.4884,-0.238,-0.3305,-0.2304,-0.3623,-0.5281,0.1424,0.0913,0.0567,0.0481,0.0048,0.0497
128.3148,2.13858,0.0194,-0.426,-0.3028,-0.3847,-0.2336,-0.2891,-0.0647,0.1013,0.1237,0.0481,0.0591,0.0438,0.0473
129.1474,2.152456667,0.0262,-0.3234,-0.2898,-0.3603,-0.0837,-0.3539,-0.2316,0.1282,0.1084,0.0692,0.07,0.0996,-0.1026
130.014,2.1669,-0.014,-0.3649,-0.3249,-0.2954,-0.3336,-0.2772,-0.2746,0.1319,0.0512,0.0735,0.0881,0.0327,0.1277
130.8884,2.181473333,0.0047,-0.2353,-0.2665,-0.3746,-0.2537,-0.3486,-0.7245,0.1434,0.0539,0.0714,0.075,0.0076,0.1913
131.7614,2.196023333,-0.0056,-0.357,-0.2194,-0.2725,-0.2509,-0.1519,-0.4062,0.1636,0.0685,0.0665,0.086,0.0757,0.0953
132.6139,2.210231667,-0.1287,-0.3138,-0.1616,-0.2575,-0.2555,-0.2483,-0.2863,0.1659,0.0623,0.0517,0.0782,0.009,0.0182
