Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
247.8345	-0.7930	-0.8181	-0.8469	-0.6593	-0.6984	-0.6610	-0.4633	0.1412	0.1485	0.1356	0.1495	0.1390	0.1120	0.1587
249.5739	-0.8418	-0.8368	-0.8881	-0.7073	-0.6970	-0.8010	-0.4612	0.1346	0.1746	0.1165	0.1238	0.1463	0.1246	0.1341
251.2919	-0.7533	-1.0980	-0.8329	-0.7767	-0.6567	-0.6236	-0.2545	0.1628	0.1331	0.1082	0.0944	0.1684	0.0466	0.0142
252.9822	-0.7515	-0.9430	-0.8648	-0.6922	-0.6377	-0.5830	-0.8169	0.1235	0.0871	0.1531	0.1162	0.1093	0.1936	0.2439
254.7212	-0.8133	-1.0485	-0.8542	-0.8026	-0.6396	-0.5089	-0.7668	0.1393	0.1019	0.1407	0.1146	0.0622	0.0601	-0.0800
256.4434	-0.8851	-0.9799	-0.8616	-0.7128	-0.7227	-0.7097	-0.9037	0.1773	0.1272	0.1289	0.1472	0.1656	0.1802	-0.0558
258.1943	-0.8339	-0.9260	-0.6820	-0.7058	-0.6431	-0.6179	-0.6724	0.1614	0.1274	0.0874	0.1387	0.1227	0.1921	0.1984
259.8983	-0.8278	-0.8966	-0.8570	-0.6346	-0.6818	-0.4954	-0.9205	0.1716	0.1127	0.1353	0.1296	0.1254	0.0774	0.2939
261.6499	-0.8558	-0.9923	-0.9978	-0.7219	-0.7174	-0.7227	-0.3589	0.1758	0.1495	0.1348	0.1109	0.1554	0.0863	0.1180
263.3664	-0.8671	-0.9213	-0.9273	-0.6731	-0.7137	-0.7526	-0.5437	0.1610	0.1392	0.1176	0.1132	0.0999	0.0607	0.4223
265.0918	-0.8257	-1.0000	-0.8389	-0.8195	-0.7337	-0.6711	-0.8701	0.1640	0.1950	0.2015	0.1408	0.1047	0.0682	0.2168
266.8437	-0.8733	-0.9779	-0.8040	-0.7396	-0.6878	-0.6905	-0.7574	0.1626	0.1139	0.0679	0.1398	0.1280	0.0251	-0.0819
268.5659	-0.7871	-1.0275	-0.9165	-0.6771	-0.7942	-0.8581	-0.4749	0.1582	0.1446	0.1485	0.1241	0.1282	0.0700	-0.1022
270.3404	-0.8829	-0.9913	-0.8912	-0.7514	-0.7848	-0.8234	-0.5856	0.1460	0.1305	0.1704	0.1211	0.1265	0.0402	0.2425
272.0354	-0.8806	-0.9260	-0.7801	-0.8127	-0.7393	-0.4135	-0.6390	0.1284	0.1315	0.1740	0.1641	0.1142	0.0354	0.0912
273.7906	-0.8049	-0.9865	-0.9982	-0.7660	-0.7226	-0.6378	-0.7468	0.1462	0.1217	0.1761	0.1320	0.0964	0.0970	0.2563
275.5327	-0.8685	-1.0327	-0.7981	-0.6743	-0.7878	-0.7824	-0.2405	0.1855	0.1726	0.1535	0.1689	0.0978	0.1559	0.1682
277.2523	-0.8870	-1.0600	-0.8821	-0.7991	-0.8134	-0.6931	-0.2770	0.1597	0.1671	0.1641	0.1320	0.1032	0.0717	-0.0186
279.0125	-0.8345	-1.0964	-0.7508	-0.8211	-0.9118	-0.9861	-0.8190	0.1692	0.1100	0.1729	0.1580	0.1360	0.1701	0.0347
280.7379	-0.8570	-0.9197	-1.0037	-0.8142	-0.7381	-0.9348	-0.6344	0.1335	0.0881	0.1076	0.1213	0.1429	0.1376	0.0883
282.5178	-0.9160	-1.0248	-0.7731	-0.7299	-0.7440	-0.7144	-0.9720	0.1643	0.1033	0.1423	0.1397	0.1482	0.2173	0.0353
