Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
118.5967,1.976611667,0.0778,-0.0183,0.016,0.0176,0.0078,0.1202,-0.0429,-0.093,-0.0432,-0.0255,0.0171,-0.0497,0.1214
119.8778,1.997963333,-0.0315,0.2411,0.14,0.0047,-0.0195,-0.0074,0.3006,0.0385,-0.0406,0.009,-0.022,-0.0015,0.3833
121.1819,2.019698333,0.154,0.1647,0.0921,-0.0352,-0.0088,0.0117,0.1841,0.0542,0.0276,0.0145,-0.0064,-0.0481,0.0413
122.5158,2.04193,-0.1248,-0.0593,-0.0223,0.0891,-0.0105,0.0502,-0.2518,-0.0778,-0.0212,-0.0135,-0.0491,0.0103,0.2289
123.5822,2.059703333,0.0739,-0.1963,0.0821,-0.0861,0.0835,0.0078,0.2149,-0.1356,-0.0281,0.0067,0.0079,0.0304,-0.0196
124.7008,2.078346667,-0.0018,0.3005,0.0177,0.038,0.013,-0.1623,0.0883,0.0367,0.0327,-0.0218,-0.0201,-0.0492,-0.0599
125.9911,2.099851667,-0.0289,0.1555,-0.0038,0.0369,0.0626,-0.1055,-0.0004,0.0098,-0.0074,0.0046,-0.0168,0.0061,0.0496
127.3027,2.121711667,-0.1571,-0.0438,0.1813,0.0358,0.0709,0.0579,0.1718,-0.0225,0.0238,0.0561,-0.0079,-0.0196,0.0456
128.6036,2.143393333,0.1247,-0.1935,0.161,0.0749,0.0969,0.1121,0.0386,0.0445,0.0049,-0.0134,0.0191,-0.1039,-0.2837
129.898,2.164966667,0.0664,0.0081,-0.0165,0.1527,0.0718,-0.1329,0.2918,0.0185,-0.0951,0.0083,0.0077,0.005,0.2466
131.2387,2.187311667,-0.037,0.2699,0.1649,0.0251,-0.0412,-0.167,0.0226,-0.0198,-0.0007,-0.01,-0.0103,0.0293,-0.0027
132.5366,2.208943333,-0.0798,0.0709,0.0964,0.0603,0.0962,-0.2312,0.2733,0.014,0.0351,0.0044,-0.0319,-0.0301,0.0523
133.8674,2.231123333,0.0512,0.0427,0.0338,0.0531,0.0143,0.0731,0.4469,-0.0548,-0.0162,0.0021,0.0025,0.0172,-0.1286
135.1825,2.253041667,0.0004,0.0727,0.0085,0.0003,0.0144,-0.0856,-0.0449,0.0156,0.0182,0.0332,-0.0329,0.0679,0.1122
136.4844,2.27474,0.0574,0.2364,0.0024,0.0562,0.0655,-0.0667,0.1215,0.0426,0.0052,-0.0434,-0.0233,-0.1157,-0.0451
137.8097,2.296828333,-0.1152,0.0176,-0.0964,-0.0619,0.0563,-0.104,-0.5885,-0.0281,-0.0312,-0.0334,-0.0355,0.0773,-0.0078
139.1038,2.318396667,0.1289,-0.0382,0.0613,0.0278,-0.0078,0.0196,0.5576,-0.0829,0.0037,0.005,-0.012,0.1137,0.0584
140.4199,2.340331667,0.1349,0.15,0.1425,-0.0258,0.0189,0.0209,0.1293,-0.0141,-0.0044,-0.0091,-0.0041,0.0406,0.1916
141.7397,2.362328333,-0.1297,0.3194,0.0272,0.1349,-0.0538,0.0532,0.1598,0.0703,0.0098,-0.0136,-0.0292,0.0259,0.1284
143.0439,2.384065,-0.0644,-0.0617,0.0299,0.15,0.1159,-0.1059,0.3048,0.0134,-0.0449,-0.0261,-0.0298,0.0035,0.0985
144.3177,2.405295,0.0796,-0.0727,0.0789,-0.0058,0.0506,0.1907,0.003,-0.069,-0.0302,0.008,0.0199,0.0222,-0.0025
145.3776,2.42296,-0.0154,0.1403,-0.019,0.0983,-0.0246,-0.0832,0.5746,0.044,0.0229,-0.0175,0.0187,-0.0066,-0.0916
146.5999,2.443331667,-0.0143,0.2984,0.0217,0.0368,0.075,-0.0072,0.1827,-0.0015,-0.0214,-0.0074,0.0345,0.0358,0.1129
147.8787,2.464645,0.113,0.4286,-0.003,-0.0163,0.0405,0.0092,0.5464,0.0274,-0.0427,-0.0307,0.0021,-0.0381,-0.0972
149.182,2.486366667,0.0297,0.0928,0.1114,0.0902,0.0681,0.1383,-0.1468,-0.0983,0.019,-0.0295,0.0359,-0.0384,-0.1186
150.4839,2.508065,0.1548,0.0132,0.0401,0.0336,0.0617,-0.2003,0.2017,0.0024,-0.0034,-0.0137,0.0155,-0.0015,0.0655
151.796,2.529933333,-0.0753,0.1814,0.1202,0.0419,0.0815,-0.2421,0.7064,0.0357,-0.0362,0.0297,0.0126,0.0383,-0.1804
153.0842,2.551403333,0.0174,0.1672,0.1092,0.0805,0.0315,-0.1197,-0.0683,0.0378,-0.0279,-0.0384,-0.0077,0.0379,0.1908
154.4105,2.573508333,0.0563,0.114,0.14,0.0628,0.0054,-0.0827,-0.0174,-0.0146,-0.007,-0.0417,0.0323,-0.0294,0.0854
155.6919,2.594865,0.1521,-0.0371,0.0711,0.1247,0.0835,0.2223,-0.2251,-0.0307,-0.0176,0.0159,-0.0343,-0.0165,0.1468
157.0103,2.616838333,0.0737,0.04,0.0226,-0.008,0.0384,0.1584,0.0816,0.0434,-0.0301,-0.0117,-0.0246,-0.0267,-0.0211
158.3145,2.638575,0.1209,0.176,0.0402,0.0766,0.0441,-0.0316,0.2363,0.04,-0.0029,0.0147,0.0067,-0.0658,0.1482
159.5836,2.659726667,-0.0036,0.0484,-0.026,0.077,0.0052,0.2226,-0.1074,-0.0455,0.0103,-0.0351,-0.0099,-0.1079,0.0736
160.8527,2.680878333,0.1656,0.0113,-0.1301,-0.0227,-0.0029,0.3779,-0.1235,0.0085,0.0228,0.0153,-0.0168,-0.0791,0.0799
162.1638,2.70273,0.0168,0.1814,0.1302,0.1313,-0.0095,0.0036,0.4242,0.0709,-0.0187,-0.0342,-0.0211,-0.0544,0.035
163.4026,2.723376667,0.0493,0.2469,0.1081,0.0496,0.0575,0.1903,0.2504,0.0545,-0.0072,-0.0023,-0.0234,0.0787,-0.0779
164.6864,2.744773333,-0.1398,0.0677,0.1835,0.0073,-0.0407,0.0053,0.698,0.0175,0.0075,-0.0067,-0.0555,-0.0538,0.1062
165.9944,2.766573333,0.1659,-0.1128,0.0127,-0.0275,0.0651,-0.0187,0.1719,-0.022,0.0031,0.003,-0.0134,0.0668,0.0426
167.2849,2.788081667,0.0478,0.1918,-0.024,0.0087,0.0069,-0.0203,0.3277,0.0392,-0.0092,0.003,-0.0122,0.1323,0.0937
168.5566,2.809276667,-0.0082,0.329,-0.0479,0.0054,0.0651,0.1269,-0.3898,0.0129,-0.0181,0.0393,-0.0078,-0.0493,0.1367
169.813,2.830216667,-0.0749,0.215,-0.0482,0.0545,0.073,-0.1335,-0.0301,-0.0089,-0.0547,-0.018,0.0008,-0.0807,-0.0407
171.1238,2.852063333,0.0829,-0.0671,-0.0105,0.0717,-0.0009,0.0825,0.0397,-0.072,-0.0048,-0.0133,-0.0178,-0.094,0.1032
172.4094,2.87349,0.0579,0.1324,0.0595,0.0607,0.0151,-0.1632,-0.2112,0.0177,-0.0359,0.0042,-0.0507,-0.0455,-0.1401
173.7109,2.895181667,0.0214,0.2273,0.0734,0.0656,0.0715,0.0553,0.0803,0.0491,0.0018,-0.0006,-0.064,0.018,0.0174
174.9925,2.916541667,-0.1918,0.1462,0.171,0.0138,0.0479,0.1475,0.0496,-0.0187,-0.0204,0.0421,0.0159,-0.0452,-0.0444
176.2678,2.937796667,-0.0258,-0.0102,0.0684,0.1302,0.0681,0.0441,0.3558,-0.0979,0.0141,0.0022,-0.0206,-0.0547,-0.018
177.5279,2.958798333,0.0502,0.0641,0.0699,0.0536,0.0768,0.1899,0.1172,-0.0157,-0.0203,-0.0386,-0.0018,-0.0627,0.16
178.8397,2.980661667,0.0313,0.3379,0.1074,-0.0188,-0.0133,0.0189,0.1955,0.0678,-0.0585,-0.034,-0.0093,-0.0334,0.042
180.1523,3.002538333,0.0577,0.2226,-0.0419,0.0747,0.1202,0.0159,0.2574,-0.0746,-0.0295,-0.009,-0.0143,0.0086,0.1287
181.4479,3.024131667,0.027,-0.0052,0.0259,0.0574,0.0741,-0.0153,-0.28,-0.0989,0.0283,0.0011,0.0153,-0.0158,-0.0091
182.7433,3.045721667,-0.0132,0.1839,-0.0454,0.0392,0.0833,-0.2284,-0.0871,-0.0196,-0.0297,0.0015,-0.006,-0.0312,-0.0054
184.05,3.0675,0.1125,0.3159,0.0128,0.0597,0.0638,-0.0093,0.0886,0.0349,-0.0148,0.0095,0.0136,-0.0519,0.1841
185.3726,3.089543333,0.0922,0.1729,-0.0606,0.058,0.0586,0.005,0.5656,0.0276,-0.037,0.0018,-0.0066,-0.0524,-0.0142
186.618,3.1103,-0.0354,0.0278,0.0482,0.0056,0.0464,-0.1423,0.2855,-0.0633,-0.0346,-0.0288,0.0095,-0.0007,-0.1636
187.934,3.132233333,-0.0326,0.1508,0.0222,0.0936,0.0498,0.0118,0.5255,-0.0565,-0.0597,-0.0334,-0.0241,0.0191,-0.1193
189.22,3.153666667,0.0362,0.2411,0.0743,0.0862,0.0258,-0.1016,-0.1854,0.0571,0.0051,-0.0276,-0.0293,0.1175,-0.1518
190.5337,3.175561667,0.1435,0.232,0.0337,0.0431,0.0768,0.0292,0.0155,0.1083,-0.0131,-0.0012,-0.0148,-0.0604,0.05
191.8401,3.197335,0.0398,0.0224,0.0836,0.167,0.0675,0.0094,-0.0094,-0.0743,0.0092,0.007,-0.0315,-0.0059,0.2592
193.1259,3.218765,0.0413,0.0424,0.0657,-0.0099,-0.0105,0.0938,0.1254,0.0032,-0.0384,-0.0417,-0.0557,-0.0048,-0.1719
194.4001,3.240001667,0.0841,0.2933,0.1275,0.1729,0.0677,0.0894,0.1398,0.0493,-0.0374,0.0022,-0.025,-0.042,-0.0447
195.6616,3.261026667,0.0791,0.1516,0.0488,0.0276,0.1112,0.2573,0.4597,0.0665,-0.0461,-0.0458,-0.0327,-0.0362,0.173
197.0007,3.283345,-0.0213,-0.0631,0.0756,0.1008,0.0573,0.1039,-0.2817,0.0057,-0.0466,-0.0091,-0.0254,-0.058,0.1878
198.2878,3.304796667,0.0926,0.1507,0.0556,0.0554,0.0001,0.1513,-0.0976,-0.0287,-0.0236,-0.0269,-0.0111,-0.0576,-0.0544
199.6103,3.326838333,0.0842,0.1672,0.0971,0.1013,0.1003,0.0204,-0.1453,0.0351,0.0236,-0.0056,-0.0007,-0.0449,0.0327
200.9161,3.348601667,0.1096,0.276,0.0118,0.068,0.0315,-0.1446,0.5152,0.0175,0.0122,-0.0155,-0.0248,-0.0877,-0.0298
202.2103,3.370171667,0.0388,-0.0619,-0.0502,0.0823,0.0131,-0.0973,-0.0427,-0.0196,-0.0082,0.0009,0.0011,-0.0146,0.1811
203.5423,3.392371667,-0.0113,0.2088,-0.0355,0.11,0.0984,0.0393,-0.4179,-0.0057,-0.0233,-0.0083,0.0054,0.0261,0.3285
204.7988,3.413313333,0.0688,0.1471,0.0707,0.083,0.0842,0.0562,0.4629,0.0174,0.0052,-0.0026,0.0027,0.0229,-0.0031
206.0908,3.434846667,0.0383,0.2819,0.038,0.0329,0.0617,0.0712,0.0581,-0.0148,-0.0281,-0.016,-0.0212,0.0212,0.106
207.3879,3.456465,0.0307,-0.006,0.056,0.0397,0.0255,0.0454,-0.245,-0.0119,-0.0309,-0.0443,-0.0355,-0.0941,0.3527
208.71,3.4785,0.0179,-0.0312,0.0618,0.1507,0.0675,-0.0098,0.0646,-0.034,-0.072,-0.0414,0.0029,-0.061,0.1152
210.0288,3.50048,-0.0735,0.347,0.0584,0.0357,0.0639,-0.1131,-0.204,0.0609,-0.0453,-0.0035,-0.0236,-0.1009,0.1257
211.3079,3.521798333,0.0087,0.263,-0.0426,0.0886,0.074,-0.0476,-0.116,0.0792,-0.0191,-0.0041,-0.0142,-0.0205,0.2177
212.6439,3.544065,0.0636,0.0563,0.0138,0.1071,0.0296,0.2017,0.4238,0.0237,-0.0105,-0.0289,-0.0065,0.0097,0.2208
213.9184,3.565306667,0.0055,-0.0917,0.0384,0.0726,0.0338,0.0717,0.1641,-0.0007,-0.0122,-0.014,-0.0198,-0.0685,-0.1846
215.2439,3.587398333,0.0022,0.1567,0.0736,0.0182,0.0093,0.0236,-0.1678,0.0177,0.0347,-0.0325,-0.0105,-0.0955,-0.0329
216.532,3.608866667,0.0966,0.171,-0.097,0.0925,-0.0334,-0.0386,-0.4703,-0.0032,0.0115,0.0243,-0.006,0.0599,-0.0534
