Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
162.1709,2.702848333,0.0525,0.2074,-0.0026,0.0464,-0.0709,0.015,-0.1302,0.0527,-0.0126,0.0093,-0.0202,0.0305,0.0449
163.4025,2.723375,-0.0007,0.0164,0.0746,0.0751,-0.0872,0.0818,0.0326,0.0257,0.0062,0.0265,-0.0074,-0.1214,0.036
164.7369,2.745615,0.0667,0.0109,-0.1289,0.0764,0.0585,0.0292,-0.4763,-0.033,-0.0282,-0.0114,0.0037,0.1105,0.117
166.0103,2.766838333,0.1329,0.1232,0.0945,-0.039,-0.0424,0.0141,-0.9736,-0.0054,0.031,-0.0161,-0.0211,0.0813,-0.0176
167.2861,2.788101667,0.1842,0.0319,-0.0527,0.0234,0.1161,0.155,0.2392,-0.0006,0.0147,0.0178,0.0188,0.0189,0.2474
168.5596,2.809326667,0.2489,0.1252,-0.0351,0.0753,-0.0129,0.2347,-0.2105,0.0093,-0.002,-0.013,-0.0303,-0.0395,-0.09
169.8459,2.830765,-0.0082,-0.0094,0.0182,0.0075,0.0257,-0.1157,0.1312,0.0031,-0.0227,-0.0298,-0.0061,-0.062,0.1422
171.132,2.8522,0.1053,0.1512,0.0353,0.096,0.0528,-0.0243,0.2344,-0.023,-0.0097,-0.0257,-0.0087,0.0443,-0.0022
172.43,2.873833333,0.1704,0.0766,0.1579,0.0815,-0.1495,0.0309,0.6268,-0.0026,-0.003,-0.0147,-0.0197,-0.0225,0.0005
173.7264,2.89544,0.1873,0.0614,-0.0465,0.0872,0.0071,-0.0525,-0.1084,-0.0043,-0.0042,-0.054,-0.0346,0.0644,-0.1344
175.008,2.9168,-0.0299,0.0804,0.0512,0.0846,0.0488,-0.0867,0.662,0.031,-0.011,-0.0454,-0.025,0.0454,0.1004
176.26,2.937666667,0.016,0.0643,-0.0484,0.0132,0.0595,0.0233,-0.1434,0.0299,-0.0372,-0.0226,0.0095,-0.0372,0.2468
177.5424,2.95904,0.1703,0.0396,0.0255,0.0434,-0.0041,-0.1496,-0.0095,-0.0229,-0.06,-0.0106,-0.0337,-0.0315,-0.1188
178.8833,2.981388333,0.2192,0.1694,-0.1071,0.0249,0.0318,0.2218,-0.3733,-0.0511,-0.0573,-0.0051,-0.0042,-0.0199,-0.0086
180.1577,3.002628333,0.0619,-0.0061,0.0826,0.0788,0.0803,0.0483,-0.247,0.0426,0.0143,-0.0045,-0.0369,0.0959,-0.1032
181.4723,3.024538333,-0.0876,0.0928,-0.0248,0.0244,0.0223,0.1757,0.0372,0.0264,-0.003,-0.0205,-0.0107,0.0928,0.2686
182.7719,3.046198333,0.1141,-0.071,0.0148,0.0074,0.007,0.473,0.114,0.0136,0.0292,-0.0231,-0.0361,-0.0302,0.127
184.0834,3.068056667,0.1647,0.1395,-0.0173,0.0672,0.0184,0.1361,-0.4437,-0.0293,0.0099,-0.0143,-0.023,0.0174,-0.0467
185.3846,3.089743333,-0.0358,0.1234,0.0488,0.0978,0.1079,0.2067,0.2299,-0.0294,-0.0359,-0.0302,0.0016,-0.0715,-0.1489
186.6434,3.110723333,-0.0612,0.1189,0.0536,-0.0721,-0.0786,0.0846,0.4669,0.009,-0.0112,-0.0266,-0.0061,-0.0221,0.1308
187.9568,3.132613333,0.2131,0.1097,0.0224,0.043,-0.0744,0.0406,0.287,-0.0156,0.0226,-0.0352,-0.0091,-0.0885,0.0985
189.2365,3.153941667,0.2783,-0.007,-0.0381,-0.0104,0.0437,0.0397,-0.4254,0.0431,0.0088,-0.0021,-0.0091,-0.1005,0.1585
190.5718,3.176196667,-0.0005,0.0228,0.0344,0.0567,0.0442,0.1266,-0.1474,-0.0234,-0.012,-0.0107,-0.0227,0.0943,-0.1871
191.8541,3.197568333,-0.0048,0.0664,-0.0118,0.0638,-0.0369,0.1207,0.1589,0.0343,-0.015,-0.0594,0.0046,0.0032,0.0523
193.156,3.219266667,0.1571,0.1298,-0.0853,-0.0961,-0.0035,0.1303,-0.2563,0.0295,-0.0038,0.0257,-0.0001,-0.0394,-0.0782
194.3587,3.239311667,0.191,0.1405,0.0505,0.0746,-0.0093,0.051,0.6342,0.0166,-0.0063,-0.043,-0.0073,0.0001,0.1094
195.688,3.261466667,0.1252,0.0977,0.0658,-0.0227,0.1391,-0.1622,-0.236,0.0659,-0.0039,0.0053,-0.0168,-0.025,-0.0729
197.0208,3.28368,0.0234,0.0073,0.0243,0.0547,0.0574,0.1123,0.0301,0.0765,-0.0433,0.0081,0.0026,-0.0973,-0.0579
198.3038,3.305063333,0.048,0.116,0.0226,0.0412,-0.0445,0.0911,0.0835,0.0204,-0.01,-0.0249,0.0172,-0.0587,0.2371
199.632,3.3272,0.1557,-0.0455,0.0467,0.0261,-0.0146,0.0358,-0.1476,0.0037,-0.0143,-0.0359,-0.0066,-0.0121,0.1845
200.9348,3.348913333,0.0149,0.1223,0.1179,0.0004,0.1536,0.089,0.0287,-0.0295,0.0189,0.0213,-0.0064,0.0103,0.3178
202.2477,3.370795,-0.017,0.0225,0.0664,-0.0717,0.003,-0.0537,-0.1459,0.0137,-0.0355,0.0042,-0.0254,-0.0805,-0.107
203.5468,3.392446667,0.1362,0.0595,0.0121,0.0012,0.0311,-0.1497,-0.0511,0.0226,0.0231,-0.0022,-0.0062,0.0153,0.0796
204.796,3.413266667,0.1787,0.1184,-0.0317,-0.0457,-0.0778,-0.0533,0.3359,-0.0006,-0.0495,0.0079,-0.0183,-0.1082,-0.1216
206.1124,3.435206667,0.0731,0.1448,-0.0271,0.0682,0.0918,-0.0986,-0.3044,-0.0039,0.0323,-0.0139,-0.0132,0.052,0.0155
207.4028,3.456713333,0.0815,0.0092,0.0475,0.0822,-0.0365,0.1031,0.2556,0.0055,0.0452,-0.0015,0.006,-0.0309,-0.0118
208.7455,3.479091667,0.0669,0.0785,0.1239,-0.0118,-0.0324,0.1053,-0.426,-0.0143,0.0609,0.0314,-0.0286,0.0183,-0.1584
210.0445,3.500741667,0.2513,-0.0201,0.026,0.062,-0.0285,0.0704,-0.0206,-0.0315,0.0416,0.0184,-0.0216,0.0691,0.0052
211.337,3.522283333,0.0853,0.0796,0.055,-0.0326,0.0714,0.0609,-0.1156,0.0077,0.0026,-0.0131,-0.0208,-0.0347,0.0756
212.6468,3.544113333,0.1313,-0.0094,-0.095,0.1189,0.0466,0.2322,-0.2678,-0.027,0.0188,0.002,-0.0366,-0.086,-0.0585
213.938,3.565633333,0.111,0.0336,-0.0691,-0.0584,-0.0621,-0.0906,-0.3566,-0.0221,0.012,-0.004,-0.0202,-0.003,0.2117
215.2808,3.588013333,0.1101,0.1446,0.0379,0.1229,-0.1174,-0.0074,-0.2298,-0.0065,0.0555,-0.0313,-0.0142,0.1468,0.2933
216.5238,3.60873,0.17,0.0293,-0.0523,0.0308,0.1004,-0.0267,-0.0979,0.0446,-0.0072,-0.0145,-0.0206,-0.0059,0.1699
